id,MLM,HLM
TEST_000,33.858894,48.658443
TEST_001,53.536285,78.39514
TEST_002,35.92216,53.669556
TEST_003,29.299526,51.74429
TEST_004,44.16555,66.718765
TEST_005,33.641205,64.31591
TEST_006,32.412453,58.609848
TEST_007,37.23491,51.662273
TEST_008,22.618568,45.59738
TEST_009,24.801334,47.278866
TEST_010,24.428646,47.25407
TEST_011,40.48922,65.38424
TEST_012,53.53336,68.679016
TEST_013,41.1536,53.604305
TEST_014,24.933287,46.619728
TEST_015,40.97268,65.566574
TEST_016,27.004007,38.643368
TEST_017,49.1566,72.748825
TEST_018,69.64574,63.393776
TEST_019,64.98911,65.4972
TEST_020,37.031128,53.371624
TEST_021,21.598202,40.715866
TEST_022,26.043549,27.55909
TEST_023,31.44801,52.348858
TEST_024,21.85834,32.382847
TEST_025,34.808887,49.251358
TEST_026,46.200455,69.01263
TEST_027,44.91255,72.20128
TEST_028,32.723316,59.222435
TEST_029,36.083897,58.414948
TEST_030,45.607876,48.90483
TEST_031,31.577808,43.89662
TEST_032,24.75066,50.223625
TEST_033,44.8646,56.74922
TEST_034,27.951052,46.307846
TEST_035,23.353998,44.592403
TEST_036,19.700743,46.946808
TEST_037,57.44905,58.90941
TEST_038,48.212994,75.39203
TEST_039,28.601347,47.05871
TEST_040,31.765774,46.032257
TEST_041,42.387714,68.19216
TEST_042,24.199612,38.939865
TEST_043,24.627369,44.851784
TEST_044,31.174858,49.88521
TEST_045,59.768627,68.27914
TEST_046,18.917599,44.727905
TEST_047,20.553164,43.35574
TEST_048,48.885742,59.183247
TEST_049,45.728153,66.13974
TEST_050,56.51841,59.05156
TEST_051,24.280554,49.517242
TEST_052,39.36287,53.51706
TEST_053,28.708996,45.802216
TEST_054,22.449862,48.543526
TEST_055,33.79713,59.048473
TEST_056,29.959858,49.20943
TEST_057,23.825539,56.810333
TEST_058,41.900467,51.763954
TEST_059,43.84356,54.83246
TEST_060,27.788708,53.81911
TEST_061,45.647247,61.98941
TEST_062,40.66078,72.00504
TEST_063,36.24561,52.13576
TEST_064,38.28289,62.289185
TEST_065,45.05706,61.306263
TEST_066,36.61005,58.267723
TEST_067,35.221844,52.639156
TEST_068,38.038338,53.097366
TEST_069,29.807596,52.35644
TEST_070,29.425762,68.65494
TEST_071,33.71797,53.282818
TEST_072,40.165176,57.914787
TEST_073,26.138218,62.553772
TEST_074,37.27507,36.52784
TEST_075,53.641254,68.98952
TEST_076,47.788265,74.851295
TEST_077,33.17259,48.02842
TEST_078,43.80127,53.034073
TEST_079,38.88695,42.988113
TEST_080,45.644745,60.82036
TEST_081,59.259865,70.99614
TEST_082,35.994778,55.110104
TEST_083,26.654573,49.738293
TEST_084,27.283953,44.64821
TEST_085,49.63336,75.00249
TEST_086,33.216553,50.820618
TEST_087,57.01207,72.69737
TEST_088,49.45338,70.298294
TEST_089,45.181618,52.58408
TEST_090,28.033176,51.697193
TEST_091,21.878605,39.10208
TEST_092,37.234833,55.23939
TEST_093,46.63507,49.54775
TEST_094,52.18664,65.20697
TEST_095,23.581516,50.585938
TEST_096,50.814648,72.20858
TEST_097,76.29267,73.524635
TEST_098,21.345482,33.555733
TEST_099,20.212154,36.377106
TEST_100,52.567207,66.942764
TEST_101,29.570856,47.08219
TEST_102,44.340942,59.389782
TEST_103,40.647045,59.924866
TEST_104,43.529102,60.48388
TEST_105,32.10732,50.286964
TEST_106,39.850105,50.414886
TEST_107,34.654404,69.33352
TEST_108,23.066547,39.516407
TEST_109,24.752644,58.79097
TEST_110,41.073017,64.7072
TEST_111,28.69907,54.167892
TEST_112,40.21793,47.94425
TEST_113,39.469444,53.224384
TEST_114,40.757427,58.942154
TEST_115,24.632072,38.64556
TEST_116,26.844984,50.45419
TEST_117,42.55997,62.81847
TEST_118,32.765892,49.058304
TEST_119,40.107567,47.226143
TEST_120,44.58422,73.445755
TEST_121,46.95691,57.929893
TEST_122,29.806839,47.19981
TEST_123,39.485,63.390038
TEST_124,15.200966,40.827606
TEST_125,46.366257,60.380764
TEST_126,49.861862,78.108765
TEST_127,44.80253,60.036755
TEST_128,52.693493,67.1434
TEST_129,33.559143,40.798622
TEST_130,34.94469,57.801716
TEST_131,39.45725,67.994286
TEST_132,25.590698,54.814
TEST_133,40.060013,57.896896
TEST_134,56.00344,71.946335
TEST_135,38.308178,54.118095
TEST_136,61.587112,72.57805
TEST_137,32.26184,49.315533
TEST_138,24.908504,40.79758
TEST_139,42.47545,48.014336
TEST_140,18.372711,39.242607
TEST_141,28.563286,49.022747
TEST_142,34.43734,53.913246
TEST_143,30.445702,40.491745
TEST_144,36.34261,55.405716
TEST_145,27.306273,35.300167
TEST_146,71.79893,79.93382
TEST_147,37.565376,65.57791
TEST_148,17.367771,30.86659
TEST_149,47.78857,72.86083
TEST_150,38.05641,54.538456
TEST_151,48.78316,64.1642
TEST_152,39.247547,47.238503
TEST_153,12.145338,42.06945
TEST_154,35.40834,47.445705
TEST_155,31.66231,65.67635
TEST_156,27.803791,47.932957
TEST_157,45.65282,55.381798
TEST_158,43.98953,64.48271
TEST_159,20.495552,25.01369
TEST_160,50.109875,66.58352
TEST_161,44.58331,52.76886
TEST_162,70.85946,73.58763
TEST_163,60.20209,63.91328
TEST_164,28.52486,60.500263
TEST_165,35.244972,56.46584
TEST_166,38.70017,57.35679
TEST_167,37.224434,57.54565
TEST_168,52.66673,67.54593
TEST_169,23.377384,43.792274
TEST_170,37.15574,53.86016
TEST_171,24.662346,57.92822
TEST_172,29.36183,57.889236
TEST_173,30.625376,29.081184
TEST_174,20.911724,44.165134
TEST_175,42.27124,67.652985
TEST_176,44.873802,64.99154
TEST_177,20.325819,36.164936
TEST_178,37.116333,54.49648
TEST_179,39.05287,66.558075
TEST_180,25.49823,50.470478
TEST_181,27.939842,52.899487
TEST_182,26.611622,50.51409
TEST_183,26.972218,39.07497
TEST_184,45.937946,44.03291
TEST_185,25.509462,45.07402
TEST_186,33.592785,50.63077
TEST_187,37.68824,57.819492
TEST_188,12.418032,23.475044
TEST_189,36.52517,68.143585
TEST_190,45.144356,61.37705
TEST_191,25.413937,49.181416
TEST_192,23.747795,49.68171
TEST_193,30.691301,44.712795
TEST_194,31.305641,34.158524
TEST_195,39.815136,62.526947
TEST_196,62.444435,68.38157
TEST_197,31.790104,62.590645
TEST_198,35.094955,44.686935
TEST_199,53.917824,73.14466
TEST_200,26.79422,56.40069
TEST_201,46.931423,48.91851
TEST_202,73.8939,72.21321
TEST_203,39.285122,60.045765
TEST_204,37.19002,51.510406
TEST_205,24.282206,54.529842
TEST_206,21.097935,44.082527
TEST_207,22.439074,47.377575
TEST_208,37.549953,72.68863
TEST_209,33.020744,54.251602
TEST_210,42.10804,45.95913
TEST_211,48.618256,71.297226
TEST_212,23.411375,46.342514
TEST_213,27.847347,41.222076
TEST_214,24.377735,53.24165
TEST_215,27.950775,39.316673
TEST_216,31.769,58.233322
TEST_217,59.06292,61.666466
TEST_218,72.0236,79.4068
TEST_219,35.395752,41.20535
TEST_220,26.840433,50.896675
TEST_221,34.769615,53.039158
TEST_222,21.81562,40.967796
TEST_223,74.234634,74.837234
TEST_224,35.665962,59.515545
TEST_225,43.10157,71.59894
TEST_226,24.70931,23.705084
TEST_227,8.316584,20.891596
TEST_228,29.653477,45.577812
TEST_229,31.109407,44.130806
TEST_230,26.23554,53.441685
TEST_231,38.065372,62.252373
TEST_232,31.66406,50.97416
TEST_233,54.04956,63.752033
TEST_234,24.787868,39.703407
TEST_235,32.663673,52.321705
TEST_236,25.109152,42.262333
TEST_237,21.987196,52.91008
TEST_238,23.622734,36.90039
TEST_239,22.425451,28.689617
TEST_240,40.010796,59.41351
TEST_241,49.696247,74.00462
TEST_242,68.62109,80.637566
TEST_243,32.02905,60.408924
TEST_244,46.65898,57.137302
TEST_245,40.831547,59.206707
TEST_246,80.53438,75.73696
TEST_247,32.30204,58.39166
TEST_248,46.40851,61.802498
TEST_249,31.051485,60.77392
TEST_250,67.04634,67.61071
TEST_251,47.733566,56.41017
TEST_252,51.02207,70.78351
TEST_253,27.331453,46.36857
TEST_254,49.908806,70.08884
TEST_255,21.923622,42.269207
TEST_256,56.45486,62.31121
TEST_257,56.138283,80.62836
TEST_258,50.373505,55.09672
TEST_259,50.699074,79.97731
TEST_260,45.659775,64.69522
TEST_261,57.978065,76.0428
TEST_262,41.34285,46.6436
TEST_263,56.056892,51.97914
TEST_264,28.940271,47.17196
TEST_265,37.0305,57.840286
TEST_266,17.836443,45.815025
TEST_267,49.66245,70.14823
TEST_268,31.423399,65.65875
TEST_269,25.255016,47.567932
TEST_270,66.43297,63.45787
TEST_271,37.349182,61.386868
TEST_272,40.22519,51.15471
TEST_273,26.903278,58.486088
TEST_274,29.880978,43.07587
TEST_275,33.415146,70.57265
TEST_276,49.512096,58.96267
TEST_277,40.930798,61.126442
TEST_278,29.89381,53.908962
TEST_279,36.021503,58.88882
TEST_280,39.52439,40.72787
TEST_281,24.61433,37.81888
TEST_282,11.221881,33.916824
TEST_283,68.70679,61.65135
TEST_284,58.204674,64.56467
TEST_285,47.11348,68.418526
TEST_286,73.265755,79.25277
TEST_287,60.077938,84.7149
TEST_288,40.328224,59.096596
TEST_289,42.956615,67.2754
TEST_290,25.580954,49.54777
TEST_291,40.201073,55.663387
TEST_292,37.36396,55.154194
TEST_293,41.964035,45.010628
TEST_294,47.367386,53.390484
TEST_295,16.695961,40.07721
TEST_296,48.446606,47.545914
TEST_297,30.758085,48.31376
TEST_298,43.62736,66.18541
TEST_299,35.326996,62.716003
TEST_300,48.217476,60.08975
TEST_301,75.876335,74.809586
TEST_302,45.440754,56.11994
TEST_303,42.64555,53.62914
TEST_304,26.71213,54.09915
TEST_305,29.01201,41.66276
TEST_306,31.849133,38.726055
TEST_307,43.027405,53.900883
TEST_308,29.941267,49.09846
TEST_309,36.945995,52.320732
TEST_310,41.83185,57.775543
TEST_311,31.658684,54.481075
TEST_312,25.915575,42.900272
TEST_313,40.227757,47.276207
TEST_314,27.156258,50.12828
TEST_315,38.646168,56.7485
TEST_316,36.05217,59.51245
TEST_317,37.66053,58.30007
TEST_318,34.441868,56.369057
TEST_319,54.819996,67.91843
TEST_320,27.121456,43.07338
TEST_321,33.707886,59.13709
TEST_322,58.579884,51.16673
TEST_323,38.970985,51.815037
